target,prompt_family,concept_label,prompt,source_context_words,lexical_mode,is_valid,validation_errors
castle,direct,castle,a castle with neutral color tones,,strict,True,
castle,direct,castle,a clean composition with a castle as the subject,,strict,True,
castle,direct,castle,a castle in golden-hour lighting,,strict,True,
castle,direct,castle,a professional photograph of a castle,,strict,True,
castle,direct,castle,a field photograph centered on a castle,,strict,True,
castle,direct,castle,a castle captured from a low angle,,strict,True,
castle,direct,castle,a realistic depiction of a castle at late afternoon,,strict,True,
castle,direct,castle,a carefully framed image of a castle,,strict,True,
castle,direct,castle,a still and focused view of a castle,,strict,True,
castle,direct,castle,a castle in diffused morning light,,strict,True,
castle,direct,castle,a studio-quality photo of a castle,,strict,True,
castle,direct,castle,a high-resolution photograph of a castle at sunset,,strict,True,
castle,direct,castle,a detailed sunlight image of a castle,,strict,True,
castle,direct,castle,a high-fidelity photograph of a castle,,strict,True,
castle,direct,castle,an atmospheric scene featuring a castle,,strict,True,
castle,direct,castle,a professional photograph of a castle,,strict,True,
castle,direct,castle,a castle at sunrise with soft haze,,strict,True,
castle,direct,castle,a vivid and detailed composition of a castle,,strict,True,
castle,direct,castle,a carefully framed image of a castle,,strict,True,
castle,direct,castle,a castle near stone textures and soft shadows,,strict,True,
castle,direct,castle,a compelling visual of a castle in daylight,,strict,True,
castle,direct,castle,a detailed image of a castle,,strict,True,
castle,direct,castle,a composed scene featuring a castle in nature,,strict,True,
castle,direct,castle,a realistic close-range image of a castle,,strict,True,
castle,direct,castle,a carefully framed image of a castle,,strict,True,
castle,direct,castle,a realistic depiction of a castle at early morning,,strict,True,
castle,direct,castle,a castle in golden-hour lighting,,strict,True,
castle,direct,castle,a stone castle under warm afternoon light,,strict,True,
castle,direct,castle,a fine-art style photograph of a castle,,strict,True,
castle,direct,castle,a detailed shade-lit image of a castle,,strict,True,
castle,direct,castle,an ultra-detailed photograph of a castle,,strict,True,
castle,direct,castle,a realistic depiction of a castle at late afternoon,,strict,True,
castle,direct,castle,a precise documentary capture of a castle,,strict,True,
castle,direct,castle,a realistic image of a castle with depth,,strict,True,
castle,direct,castle,a realistic close-range image of a castle,,strict,True,
castle,direct,castle,a castle under clear afternoon skies,,strict,True,
castle,direct,castle,a castle captured from a high angle,,strict,True,
castle,direct,castle,a castle on a hilltop at dawn,,strict,True,
castle,direct,castle,a photorealistic image of a castle,,strict,True,
castle,direct,castle,a documentary image showing a castle,,strict,True,
castle,direct,castle,a castle in diffused morning light,,strict,True,
castle,direct,castle,a castle in a calm outdoor environment,,strict,True,
castle,direct,castle,a castle framed in a wide-angle composition,,strict,True,
castle,direct,castle,a vivid and detailed composition of a castle,,strict,True,
castle,direct,castle,a balanced composition highlighting a castle,,strict,True,
castle,direct,castle,a frontal view of a castle,,strict,True,
castle,direct,castle,a castle captured from a low angle,,strict,True,
castle,direct,castle,a castle captured from a low angle,,strict,True,
castle,direct,castle,a realistic castle standing near a forest,,strict,True,
castle,direct,castle,a precise documentary capture of a castle,,strict,True,
castle,direct,castle,a medieval castle surrounded by fog,,strict,True,
castle,direct,castle,a castle with clean lines and strong contrast,,strict,True,
castle,direct,castle,a medieval castle surrounded by fog,,strict,True,
castle,direct,castle,a natural scene with a castle as the main subject,,strict,True,
castle,direct,castle,a castle under overcast daylight,,strict,True,
castle,direct,castle,a detailed shade-lit image of a castle,,strict,True,
castle,direct,castle,a vivid and detailed composition of a castle,,strict,True,
castle,direct,castle,a richly textured image of a castle,,strict,True,
castle,direct,castle,a castle positioned near a reflective surface,,strict,True,
castle,direct,castle,a scenic image focused on a castle,,strict,True,
castle,direct,castle,an atmospheric scene featuring a castle,,strict,True,
castle,direct,castle,a realistic depiction of a castle at late afternoon,,strict,True,
castle,direct,castle,a frontal view of a castle,,strict,True,
castle,direct,castle,a castle with sharp textures and fine detail,,strict,True,
castle,indirect,castle,"A detailed environment centered on medieval wall, arched gate, and inner ward",medieval wall|arched gate|inner ward,broad,True,
castle,indirect,castle,"An atmospheric heritage setting showing medieval wall, arched gate, and inner ward",medieval wall|arched gate|inner ward,broad,True,
castle,indirect,castle,"a documentary-style frame showing dungeon, iron gate, and stone corridor",dungeon|iron gate|stone corridor,strict,True,
castle,indirect,castle,"A dramatic scene featuring fortress wall, watchfire, and armory",fortress wall|watchfire|armory,broad,True,
castle,indirect,castle,"Image of royal hall, stone stair, and banner in a medieval landscape",royal hall|stone stair|banner,broad,True,
castle,indirect,castle,"Image of walled bailey, guard post, and torch sconces in a medieval landscape",walled bailey|guard post|torch sconces,broad,True,
castle,indirect,castle,"A detailed environment centered on fortified walls, drawbridge chain, and moat water",fortified walls|drawbridge chain|moat water,broad,True,
castle,indirect,castle,"a documentary-style frame showing ancient wall, arrow loop, and inner court",ancient wall|arrow loop|inner court,strict,True,
castle,indirect,castle,"A cinematic architecture shot with walled bailey, guard post, and torch sconces",walled bailey|guard post|torch sconces,broad,True,
castle,indirect,castle,"A fantasy-inspired stone scene with stone keep, banner, and courtyard",stone keep|banner|courtyard,broad,True,
castle,indirect,castle,"A fantasy-inspired stone scene with tower silhouette, fog, and moonlight",tower silhouette|fog|moonlight,broad,True,
castle,indirect,castle,"A detailed environment centered on royal hall, stone stair, and banner",royal hall|stone stair|banner,broad,True,
castle,indirect,castle,"A fantasy-inspired stone scene with bridge parapet, stone buttress, and riverbank",bridge parapet|stone buttress|riverbank,broad,True,
castle,indirect,castle,"an atmospheric historical setting focused on stone gateway, wet moat, and drawbridge",stone gateway|wet moat|drawbridge,strict,True,
castle,indirect,castle,"A dramatic scene featuring market square, gate arch, and bell tower",market square|gate arch|bell tower,broad,True,
castle,indirect,castle,"a high-detail heritage landmark scene with chamber doorway, stone columns, and iron hinge",chamber doorway|stone columns|iron hinge,strict,True,
castle,indirect,castle,"A fantasy-inspired stone scene with misty dawn, high walls, and banner",misty dawn|high walls|banner,broad,True,
castle,indirect,castle,"An atmospheric heritage setting showing siege engine, reinforced gate, and defensive ditch",siege engine|reinforced gate|defensive ditch,broad,True,
castle,indirect,castle,"Image of battlement, portcullis, and rampart in a medieval landscape",battlement|portcullis|rampart,broad,True,
castle,indirect,castle,"A detailed environment centered on stone keep, banner, and courtyard",stone keep|banner|courtyard,broad,True,
castle,indirect,castle,"Image of armored guard, wall walk, and gate tower in a medieval landscape",armored guard|wall walk|gate tower,broad,True,
castle,indirect,castle,"A cinematic architecture shot with throne room, tapestry, and chandelier",throne room|tapestry|chandelier,broad,True,
castle,indirect,castle,"A cinematic architecture shot with armored guard, wall walk, and gate tower",armored guard|wall walk|gate tower,broad,True,
castle,indirect,castle,"Image of bridge crossing, stone arch, and river mist in a medieval landscape",bridge crossing|stone arch|river mist,broad,True,
castle,indirect,castle,"An atmospheric heritage setting showing tower silhouette, fog, and moonlight",tower silhouette|fog|moonlight,broad,True,
castle,indirect,castle,"A dramatic scene featuring royal chamber, mural, and arched corridor",royal chamber|mural|arched corridor,broad,True,
castle,indirect,castle,"A cinematic architecture shot with bridge parapet, stone buttress, and riverbank",bridge parapet|stone buttress|riverbank,broad,True,
castle,indirect,castle,"An atmospheric heritage setting showing bridge crossing, stone arch, and river mist",bridge crossing|stone arch|river mist,broad,True,
castle,indirect,castle,"A fantasy-inspired stone scene with fortified walls, drawbridge chain, and moat water",fortified walls|drawbridge chain|moat water,broad,True,
castle,indirect,castle,"A detailed environment centered on bridge crossing, stone arch, and river mist",bridge crossing|stone arch|river mist,broad,True,
castle,indirect,castle,"A cinematic architecture shot with winter snowfall, rampart, and watchtower",winter snowfall|rampart|watchtower,broad,True,
castle,indirect,castle,"a moody dawn landscape with inner ward, outer wall, and portcullis",inner ward|outer wall|portcullis,strict,True,
castle,indirect,castle,"a high-detail heritage landmark scene with training yard, armory door, and stone wall",training yard|armory door|stone wall,strict,True,
castle,indirect,castle,"A detailed environment centered on medieval town, cobblestone, and gatehouse",medieval town|cobblestone|gatehouse,broad,True,
castle,indirect,castle,"A detailed environment centered on royal procession, banner line, and drum tower",royal procession|banner line|drum tower,broad,True,
castle,indirect,castle,"a realistic exterior with guardhouse, stone ramp, and courtyard well in view",guardhouse|stone ramp|courtyard well,strict,True,
castle,indirect,castle,"A detailed environment centered on market square, gate arch, and bell tower",market square|gate arch|bell tower,broad,True,
castle,indirect,castle,"a cinematic medieval scene featuring gate passage, hanging banner, and torch glow",gate passage|hanging banner|torch glow,strict,True,
castle,indirect,castle,"A detailed environment centered on dungeon, iron gate, and torchlight",dungeon|iron gate|torchlight,broad,True,
castle,indirect,castle,"a documentary-style frame showing siege tower debris, reinforced gate, and wall walk",siege tower debris|reinforced gate|wall walk,strict,True,
castle,indirect,castle,"A dramatic scene featuring walled bailey, guard post, and torch sconces",walled bailey|guard post|torch sconces,broad,True,
castle,indirect,castle,"A cinematic architecture shot with royal hall, stone stair, and banner",royal hall|stone stair|banner,broad,True,
castle,indirect,castle,"Image of siege engine, reinforced gate, and defensive ditch in a medieval landscape",siege engine|reinforced gate|defensive ditch,broad,True,
castle,indirect,castle,"An atmospheric heritage setting showing keep tower, arrow slit, and watch platform",keep tower|arrow slit|watch platform,broad,True,
castle,indirect,castle,"A cinematic architecture shot with old kingdom, heraldic emblem, and great hall",old kingdom|heraldic emblem|great hall,broad,True,
castle,indirect,castle,"a moody dawn landscape with royal chamber, stone balcony, and banner",royal chamber|stone balcony|banner,strict,True,
castle,indirect,castle,"A detailed environment centered on winter snowfall, rampart, and watchtower",winter snowfall|rampart|watchtower,broad,True,
castle,indirect,castle,"A cinematic architecture shot with gothic masonry, courtyard fountain, and oak door",gothic masonry|courtyard fountain|oak door,broad,True,
castle,indirect,castle,"a high-detail heritage landmark scene with wall mural, arched gate, and inner bailey",wall mural|arched gate|inner bailey,strict,True,
castle,indirect,castle,"a detailed stone architecture study with rampart edge, watch platform, and courtyard",rampart edge|watch platform|courtyard,strict,True,
castle,indirect,castle,"a cinematic medieval scene featuring old masonry, weathered battlement, and gate arch",old masonry|weathered battlement|gate arch,strict,True,
castle,indirect,castle,"A dramatic scene featuring dungeon, iron gate, and torchlight",dungeon|iron gate|torchlight,broad,True,
castle,indirect,castle,"A fantasy-inspired stone scene with royal procession, banner line, and drum tower",royal procession|banner line|drum tower,broad,True,
castle,indirect,castle,"A detailed environment centered on medieval stronghold, outer wall, and gatehouse",medieval stronghold|outer wall|gatehouse,broad,True,
castle,indirect,castle,"a detailed stone architecture study with turret roof, stone arch, and torchlit hallway",turret roof|stone arch|torchlit hallway,strict,True,
castle,indirect,castle,"An atmospheric heritage setting showing fantasy realm, stone battlement, and courtyard",fantasy realm|stone battlement|courtyard,broad,True,
castle,indirect,castle,"A cinematic architecture shot with fantasy realm, stone battlement, and courtyard",fantasy realm|stone battlement|courtyard,broad,True,
castle,indirect,castle,"A dramatic scene featuring moat, drawbridge, and turret",moat|drawbridge|turret,broad,True,
castle,indirect,castle,"A cinematic architecture shot with medieval stronghold, outer wall, and gatehouse",medieval stronghold|outer wall|gatehouse,broad,True,
castle,indirect,castle,"an atmospheric historical setting focused on stone wall, watchtower, and archway",stone wall|watchtower|archway,strict,True,
castle,indirect,castle,"a documentary-style frame showing medieval masonry, walled yard, and portcullis",medieval masonry|walled yard|portcullis,strict,True,
castle,indirect,castle,"An atmospheric heritage setting showing walled bailey, guard post, and torch sconces",walled bailey|guard post|torch sconces,broad,True,
castle,indirect,castle,"A cinematic architecture shot with royal procession, banner line, and drum tower",royal procession|banner line|drum tower,broad,True,
castle,indirect,castle,"A cinematic architecture shot with chapel wing, vaulted ceiling, and stone column",chapel wing|vaulted ceiling|stone column,broad,True,
castle,indirect,castle,"A detailed environment centered on moat, drawbridge, and turret",moat|drawbridge|turret,broad,True,
castle,indirect,castle,"A fantasy-inspired stone scene with fantasy realm, stone battlement, and courtyard",fantasy realm|stone battlement|courtyard,broad,True,
castle,indirect,castle,"An atmospheric heritage setting showing market square, gate arch, and bell tower",market square|gate arch|bell tower,broad,True,
castle,indirect,castle,"A cinematic architecture shot with battlement, portcullis, and rampart",battlement|portcullis|rampart,broad,True,
castle,indirect,castle,"A dramatic scene featuring misty dawn, high walls, and banner",misty dawn|high walls|banner,broad,True,
castle,indirect,castle,"Image of fortified walls, drawbridge chain, and moat water in a medieval landscape",fortified walls|drawbridge chain|moat water,broad,True,
castle,indirect,castle,"an atmospheric historical setting focused on medieval feast hall, oak table, and tapestry",medieval feast hall|oak table|tapestry,strict,True,
castle,indirect,castle,"Image of medieval wall, arched gate, and inner ward in a medieval landscape",medieval wall|arched gate|inner ward,broad,True,
castle,indirect,castle,"A dramatic scene featuring sunset skyline, tower, and bridge",sunset skyline|tower|bridge,broad,True,
castle,indirect,castle,"An atmospheric heritage setting showing fortified walls, drawbridge chain, and moat water",fortified walls|drawbridge chain|moat water,broad,True,
castle,indirect,castle,"A dramatic scene featuring fortified walls, drawbridge chain, and moat water",fortified walls|drawbridge chain|moat water,broad,True,
castle,indirect,castle,"A detailed environment centered on fortress wall, watchfire, and armory",fortress wall|watchfire|armory,broad,True,
castle,indirect,castle,"A cinematic architecture shot with moat, drawbridge, and turret",moat|drawbridge|turret,broad,True,
castle,indirect,castle,"a documentary-style frame showing ring wall, stone tower, and arched doorway",ring wall|stone tower|arched doorway,strict,True,
castle,indirect,castle,"Image of stone keep, banner, and courtyard in a medieval landscape",stone keep|banner|courtyard,broad,True,
castle,indirect,castle,"A dramatic scene featuring watchtower, gatehouse, and parapet",watchtower|gatehouse|parapet,broad,True,
castle,indirect,castle,"A dramatic scene featuring throne room, tapestry, and chandelier",throne room|tapestry|chandelier,broad,True,
castle,indirect,castle,"Image of watchtower, gatehouse, and parapet in a medieval landscape",watchtower|gatehouse|parapet,broad,True,
castle,indirect,castle,"a detailed stone architecture study with battlement, rampart, and portcullis",battlement|rampart|portcullis,strict,True,
castle,indirect,castle,"a detailed stone architecture study with courtyard fountain, banner line, and guard post",courtyard fountain|banner line|guard post,strict,True,
castle,indirect,castle,"Image of throne room, tapestry, and chandelier in a medieval landscape",throne room|tapestry|chandelier,broad,True,
castle,indirect,castle,"A dramatic scene featuring cathedral spire, flying buttress, and rose window",cathedral spire|flying buttress|rose window,broad,True,
castle,indirect,castle,"an atmospheric historical setting focused on armory, drawbridge chain, and battlement",armory|drawbridge chain|battlement,strict,True,
castle,indirect,castle,"A detailed environment centered on chapel wing, vaulted ceiling, and stone column",chapel wing|vaulted ceiling|stone column,broad,True,
castle,indirect,castle,"a detailed stone architecture study with winding stair, high parapet, and lookout",winding stair|high parapet|lookout,strict,True,
castle,indirect,castle,"A cinematic architecture shot with ancient ruins, ivy, and weathered stone",ancient ruins|ivy|weathered stone,broad,True,
castle,indirect,castle,"a realistic exterior with defensive ditch, gate tower, and portcullis in view",defensive ditch|gate tower|portcullis,strict,True,
castle,indirect,castle,"A fantasy-inspired stone scene with royal chamber, mural, and arched corridor",royal chamber|mural|arched corridor,broad,True,
castle,indirect,castle,"A fantasy-inspired stone scene with medieval stronghold, outer wall, and gatehouse",medieval stronghold|outer wall|gatehouse,broad,True,
castle,indirect,castle,"A fantasy-inspired stone scene with moat, drawbridge, and turret",moat|drawbridge|turret,broad,True,
castle,indirect,castle,"A cinematic architecture shot with fortified walls, drawbridge chain, and moat water",fortified walls|drawbridge chain|moat water,broad,True,
castle,indirect,castle,"A cinematic architecture shot with siege engine, reinforced gate, and defensive ditch",siege engine|reinforced gate|defensive ditch,broad,True,
castle,indirect,castle,"An atmospheric heritage setting showing royal procession, banner line, and drum tower",royal procession|banner line|drum tower,broad,True,
castle,indirect,castle,"A fantasy-inspired stone scene with winter snowfall, rampart, and watchtower",winter snowfall|rampart|watchtower,broad,True,
castle,indirect,castle,"An atmospheric heritage setting showing misty dawn, high walls, and banner",misty dawn|high walls|banner,broad,True,
castle,indirect,castle,"An atmospheric heritage setting showing stone keep, banner, and courtyard",stone keep|banner|courtyard,broad,True,
castle,indirect,castle,"Image of gothic masonry, courtyard fountain, and oak door in a medieval landscape",gothic masonry|courtyard fountain|oak door,broad,True,
castle,indirect,castle,"a realistic exterior with chapel wing, royal chamber, and arched hall in view",chapel wing|royal chamber|arched hall,strict,True,
castle,indirect,castle,"A fantasy-inspired stone scene with gothic masonry, courtyard fountain, and oak door",gothic masonry|courtyard fountain|oak door,broad,True,
castle,indirect,castle,"An atmospheric heritage setting showing medieval town, cobblestone, and gatehouse",medieval town|cobblestone|gatehouse,broad,True,
castle,indirect,castle,"a high-detail heritage landmark scene with heraldic banner, stone keep, and courtyard",heraldic banner|stone keep|courtyard,strict,True,
castle,indirect,castle,"An atmospheric heritage setting showing moat, drawbridge, and turret",moat|drawbridge|turret,broad,True,
castle,indirect,castle,"A detailed environment centered on siege engine, reinforced gate, and defensive ditch",siege engine|reinforced gate|defensive ditch,broad,True,
castle,indirect,castle,"A cinematic architecture shot with tower silhouette, fog, and moonlight",tower silhouette|fog|moonlight,broad,True,
castle,indirect,castle,"A cinematic architecture shot with medieval town, cobblestone, and gatehouse",medieval town|cobblestone|gatehouse,broad,True,
castle,indirect,castle,"A dramatic scene featuring battlement, portcullis, and rampart",battlement|portcullis|rampart,broad,True,
castle,indirect,castle,"Image of royal procession, banner line, and drum tower in a medieval landscape",royal procession|banner line|drum tower,broad,True,
castle,indirect,castle,"A detailed environment centered on cathedral spire, flying buttress, and rose window",cathedral spire|flying buttress|rose window,broad,True,
castle,indirect,castle,"A fantasy-inspired stone scene with dungeon, iron gate, and torchlight",dungeon|iron gate|torchlight,broad,True,
castle,indirect,castle,"A dramatic scene featuring ancient ruins, ivy, and weathered stone",ancient ruins|ivy|weathered stone,broad,True,
castle,indirect,castle,"An atmospheric heritage setting showing old kingdom, heraldic emblem, and great hall",old kingdom|heraldic emblem|great hall,broad,True,
castle,indirect,castle,"A fantasy-inspired stone scene with medieval wall, arched gate, and inner ward",medieval wall|arched gate|inner ward,broad,True,
castle,indirect,castle,"A cinematic architecture shot with keep tower, arrow slit, and watch platform",keep tower|arrow slit|watch platform,broad,True,
castle,indirect,castle,"An atmospheric heritage setting showing royal chamber, mural, and arched corridor",royal chamber|mural|arched corridor,broad,True,
castle,indirect,castle,"Image of winter snowfall, rampart, and watchtower in a medieval landscape",winter snowfall|rampart|watchtower,broad,True,
castle,indirect,castle,"A detailed environment centered on sunset skyline, tower, and bridge",sunset skyline|tower|bridge,broad,True,
castle,indirect,castle,"a high-detail heritage landmark scene with gate arch, tower stair, and bannered wall",gate arch|tower stair|bannered wall,strict,True,
castle,indirect,castle,"A dramatic scene featuring fantasy realm, stone battlement, and courtyard",fantasy realm|stone battlement|courtyard,broad,True,
castle,indirect,castle,"Image of royal chamber, mural, and arched corridor in a medieval landscape",royal chamber|mural|arched corridor,broad,True,
castle,indirect,castle,"An atmospheric heritage setting showing cathedral spire, flying buttress, and rose window",cathedral spire|flying buttress|rose window,broad,True,
castle,indirect,castle,"An atmospheric heritage setting showing royal hall, stone stair, and banner",royal hall|stone stair|banner,broad,True,
castle,indirect,castle,"Image of market square, gate arch, and bell tower in a medieval landscape",market square|gate arch|bell tower,broad,True,
castle,indirect,castle,"an atmospheric historical setting focused on vaulted hall, stone pillar, and torch sconces",vaulted hall|stone pillar|torch sconces,strict,True,
castle,indirect,castle,"An atmospheric heritage setting showing medieval stronghold, outer wall, and gatehouse",medieval stronghold|outer wall|gatehouse,broad,True,
castle,indirect,castle,"a cinematic medieval scene featuring stone parapet, guarded entry, and banner",stone parapet|guarded entry|banner,strict,True,
castle,indirect,castle,"A dramatic scene featuring keep tower, arrow slit, and watch platform",keep tower|arrow slit|watch platform,broad,True,
castle,indirect,castle,"a detailed stone architecture study with watchtower silhouette, foggy moat, and battlement",watchtower silhouette|foggy moat|battlement,strict,True,
