target,prompt_family,concept_label,prompt,source_context_words,lexical_mode,is_valid,validation_errors
dog,direct,dog,a dog with its tongue out on a warm day,,strict,True,
dog,direct,dog,a dog with ears perked in an alert pose,,strict,True,
dog,direct,dog,a sharply focused dog with a blurred background,,strict,True,
dog,direct,dog,a dog splashing through a shallow river,,strict,True,
dog,direct,dog,a dog on a cliff edge gazing over a coastal vista,,strict,True,
dog,direct,dog,a dog tracking a scent through tall grass,,strict,True,
dog,direct,dog,a dog poking its head through a gap in a hedge,,strict,True,
dog,direct,dog,a dog shaking its coat after a swim,,strict,True,
dog,direct,dog,a candid shot of a dog in an urban park,,strict,True,
dog,direct,dog,a dog resting its head on a fence rail,,strict,True,
dog,direct,dog,a dog perched on a hillside overlooking a valley,,strict,True,
dog,direct,dog,a dog bounding towards the camera in open space,,strict,True,
dog,direct,dog,a vivid photograph of a dog,,strict,True,
dog,direct,dog,a dog caught yawning in soft indoor light,,strict,True,
dog,direct,dog,a dog seen from above lying in green grass,,strict,True,
dog,direct,dog,a dog caught yawning in soft indoor light,,strict,True,
dog,direct,dog,a dog looking back over its shoulder on a trail,,strict,True,
dog,direct,dog,a dog looking curious in an outdoor setting,,strict,True,
dog,direct,dog,a dog running on a grassy path,,strict,True,
dog,direct,dog,a dog circling before lying down in evening grass,,strict,True,
dog,direct,dog,a dog sitting calmly beside a wooden fence at dusk,,strict,True,
dog,direct,dog,a dog looking upward in a field of tall wheat,,strict,True,
dog,direct,dog,a dog shaking its head in a spray of morning dew,,strict,True,
dog,direct,dog,a dog sitting on a sun-bleached boulder at noon,,strict,True,
dog,direct,dog,a dog on a wooden dock beside a calm lake,,strict,True,
dog,direct,dog,a dog playing in an open field,,strict,True,
dog,direct,dog,a dog under warm afternoon light,,strict,True,
dog,direct,dog,a dog seen from above lying in green grass,,strict,True,
dog,direct,dog,a dog lapping from a woodland stream,,strict,True,
dog,direct,dog,a candid shot of a dog in an urban park,,strict,True,
dog,direct,dog,a dog running on a grassy path,,strict,True,
dog,direct,dog,a dog caught mid-motion in nature,,strict,True,
dog,direct,dog,a dog watching a trail of ants across a log,,strict,True,
dog,direct,dog,a dog shaking its head in a spray of morning dew,,strict,True,
dog,direct,dog,a dog pausing to look up in an open meadow,,strict,True,
dog,direct,dog,a dog disappearing into a tall hedgerow,,strict,True,
dog,direct,dog,a close-up of a dog in soft daylight,,strict,True,
dog,direct,dog,a dog nuzzled between tall wildflowers,,strict,True,
dog,direct,dog,a dog with ears perked in an alert pose,,strict,True,
dog,direct,dog,a dog shaking its head in a spray of morning dew,,strict,True,
dog,direct,dog,a dog resting its head on a fence rail,,strict,True,
dog,direct,dog,a dog looking curious in an outdoor setting,,strict,True,
dog,direct,dog,a documentary-style photo of a dog,,strict,True,
dog,direct,dog,a dog shaking its coat after a swim,,strict,True,
dog,direct,dog,a dog walking along the waterline at low tide,,strict,True,
dog,direct,dog,a dog rolling in dry grass in warm sunlight,,strict,True,
dog,direct,dog,a dog looking upward in a field of tall wheat,,strict,True,
dog,direct,dog,a dog poking its head through a gap in a hedge,,strict,True,
dog,direct,dog,a dog at full gallop across an open plain,,strict,True,
dog,direct,dog,a dog with ears perked in an alert pose,,strict,True,
dog,direct,dog,a dog with frost on its muzzle on a winter morning,,strict,True,
dog,direct,dog,a dog stepping out of shadow into bright sunlight,,strict,True,
dog,direct,dog,a photo of a dog in a natural setting,,strict,True,
dog,direct,dog,a dog captured in golden hour light,,strict,True,
dog,direct,dog,a dog with wind-ruffled fur on a hilltop,,strict,True,
dog,direct,dog,a dog on a wooden dock beside a calm lake,,strict,True,
dog,direct,dog,a dog in profile against a blurred green background,,strict,True,
dog,direct,dog,a dog perched on a hillside overlooking a valley,,strict,True,
dog,direct,dog,a dog watching a trail of ants across a log,,strict,True,
dog,direct,dog,a dog on a cliff edge gazing over a coastal vista,,strict,True,
dog,direct,dog,a dog with bright eyes in dappled forest light,,strict,True,
dog,direct,dog,a dog sitting calmly beside a wooden fence at dusk,,strict,True,
dog,direct,dog,a dog sitting calmly beside a wooden fence at dusk,,strict,True,
dog,direct,dog,a high-resolution photograph of a dog in the wild,,strict,True,
dog,direct,dog,a dog poking its head through a gap in a hedge,,strict,True,
dog,direct,dog,a dog moving through its environment,,strict,True,
dog,direct,dog,a dog trotting alongside a fence at sunset,,strict,True,
dog,direct,dog,a dog moving through its environment,,strict,True,
dog,direct,dog,a dog looking through a gap in a stone wall,,strict,True,
dog,direct,dog,a vivid photograph of a dog,,strict,True,
dog,direct,dog,a dog walking along the waterline at low tide,,strict,True,
dog,direct,dog,a dog watching a trail of ants across a log,,strict,True,
dog,direct,dog,a dog with its paws in a shallow tide pool,,strict,True,
dog,direct,dog,a dog sitting on a snowy hilltop at dawn,,strict,True,
dog,direct,dog,a dog snoozing in a patch of afternoon sun,,strict,True,
dog,direct,dog,a candid shot of a dog in an urban park,,strict,True,
dog,direct,dog,a dog looking upward in a field of tall wheat,,strict,True,
dog,direct,dog,a dog with bright eyes in dappled forest light,,strict,True,
dog,direct,dog,a dog splashing through a shallow river,,strict,True,
dog,indirect,dog,the silhouette that always barks first when a stranger approaches,woof|bark|fetch,strict,True,
dog,indirect,dog,a retriever pausing mid-lake to check its owner is still watching,labrador|retriever|breed,strict,True,
dog,indirect,dog,the persistent bark filling a quiet neighborhood at dusk,woof|bark|fetch,strict,True,
dog,indirect,dog,a weathered kennel perched on the sunny side of the yard,leash|collar|kennel,strict,True,
dog,indirect,dog,a tail that slapped every shin in a crowded kitchen at dinner time,snout|tail|fur,strict,True,
dog,indirect,dog,a retriever breed bred for water standing chest-deep in a river,labrador|retriever|breed,strict,True,
dog,indirect,dog,a tail going like a propeller the moment familiar footsteps approach,snout|tail|fur,strict,True,
dog,indirect,dog,a snout pressed flat to the earth following a trail through fallen leaves,snout|tail|fur,strict,True,
dog,indirect,dog,a one-eyed mutt with three legs and boundless enthusiasm,pooch|hound|mutt,strict,True,
dog,indirect,dog,a plucky mutt squeezing through a gap half its apparent width,pooch|hound|mutt,strict,True,
dog,indirect,dog,a shelter mutt pressing its nose through chain-link to greet a visitor,pooch|hound|mutt,strict,True,
dog,indirect,dog,a golden retriever asleep on the back seat after a long fetch session,labrador|retriever|breed,strict,True,
dog,indirect,dog,a treat hunt hidden around the garden to sharpen a working nose,bone|treat|obedient,strict,True,
dog,indirect,dog,dense fur that smells of pine and rain after an outdoor adventure,snout|tail|fur,strict,True,
dog,indirect,dog,a sight hound pivoting at full speed after a distant flicker,pooch|hound|mutt,strict,True,
dog,indirect,dog,a neighbourhood pooch that learned to open the gate by itself,pooch|hound|mutt,strict,True,
dog,indirect,dog,a blur of fur launching into the air to fetch a thrown ball,woof|bark|fetch,strict,True,
dog,indirect,dog,a shape launching off a dock to fetch a floating disc,woof|bark|fetch,strict,True,
dog,indirect,dog,a treat-dispensing puzzle toy keeping a sharp mind busy for an hour,bone|treat|obedient,strict,True,
dog,indirect,dog,a sharp bark cutting through morning fog from behind a hedge,woof|bark|fetch,strict,True,
dog,indirect,dog,a crunch of a dental bone filling an otherwise quiet afternoon,bone|treat|obedient,strict,True,
dog,indirect,dog,a treat flicked into the air and snatched with one clean snap,bone|treat|obedient,strict,True,
dog,indirect,dog,a playful companion shadowing every step through a sun-bright house,playful|loyal|companion,strict,True,
dog,indirect,dog,soft fur matted with burrs after a ramble through the hedgerow,snout|tail|fur,strict,True,
dog,indirect,dog,a snout hovering just above a still pond studying its own reflection,snout|tail|fur,strict,True,
dog,indirect,dog,a wet snout pressed against a cold windowpane on a rainy afternoon,snout|tail|fur,strict,True,
dog,indirect,dog,a soft woof in the dark from a shape lying at the foot of the bed,woof|bark|fetch,strict,True,
dog,indirect,dog,a hound baying at the moon from atop a garden wall,pooch|hound|mutt,strict,True,
dog,indirect,dog,a playful streak of fur that refuses to acknowledge the concept of bedtime,playful|loyal|companion,strict,True,
dog,indirect,dog,a sleepy puppy curled with tucked paws beside a fireplace,puppy|pup|paws,strict,True,
dog,indirect,dog,a puppy mid-tumble with all four paws in the air,puppy|pup|paws,strict,True,
dog,indirect,dog,a mixed-breed mutt with mismatched eyes and a perfect soul,pooch|hound|mutt,strict,True,
dog,indirect,dog,a leash tangled around a park bench leg in a moment of excitement,leash|collar|kennel,strict,True,
dog,indirect,dog,a puppy using its paws to dig a determined hole in soft earth,puppy|pup|paws,strict,True,
dog,indirect,dog,the animal whose every fetch ends in a triumphant full-body shake,woof|bark|fetch,strict,True,
dog,indirect,dog,a tireless fetcher racing back faster than it left,woof|bark|fetch,strict,True,
dog,indirect,dog,a scruffy little pooch peering out from under a too-large hat,pooch|hound|mutt,strict,True,
dog,indirect,dog,a loyal companion at the bedside of a recovering patient,playful|loyal|companion,strict,True,
dog,indirect,dog,a reliably obedient animal ignoring distractions on a busy trail,bone|treat|obedient,strict,True,
dog,indirect,dog,a loyal guard lying at the foot of a child's bed through every storm,playful|loyal|companion,strict,True,
dog,indirect,dog,a litter of pups piled together with paws tangled,puppy|pup|paws,strict,True,
dog,indirect,dog,a companion that knows an owner's mood before the owner does,playful|loyal|companion,strict,True,
dog,indirect,dog,a pack hound singing along to a distant siren from the garden,pooch|hound|mutt,strict,True,
dog,indirect,dog,a retriever breed portrait framed by autumn woodland,labrador|retriever|breed,strict,True,
dog,indirect,dog,a kennel with a chewed doorframe and a favourite blanket inside,leash|collar|kennel,strict,True,
dog,indirect,dog,a pup balanced on a log with careful paws splayed wide,puppy|pup|paws,strict,True,
dog,indirect,dog,a fraying leash telling stories of a hundred enthusiastic walks,leash|collar|kennel,strict,True,
dog,indirect,dog,an eager fetcher already pivoting before the throw is complete,woof|bark|fetch,strict,True,
dog,indirect,dog,a curious puppy sniffing a flower with paws planted wide apart,puppy|pup|paws,strict,True,
dog,indirect,dog,a golden pup sprawled with soft paws over a sleeping child,puppy|pup|paws,strict,True,
dog,indirect,dog,a tiny pup leaving wet paw prints on a kitchen tile floor,puppy|pup|paws,strict,True,
dog,indirect,dog,a beast with wide eyes waiting motionless for the next fetch signal,woof|bark|fetch,strict,True,
dog,indirect,dog,a well-bred working animal standing perfectly still on command,labrador|retriever|breed,strict,True,
dog,indirect,dog,a softly obedient creature leaning against its owner on a bench,bone|treat|obedient,strict,True,
dog,indirect,dog,a pup with enormous paws that hint at a much bigger adult,puppy|pup|paws,strict,True,
dog,indirect,dog,"an obedient creature that sits, stays, and shakes on the first word",bone|treat|obedient,strict,True,
dog,indirect,dog,an animal mid-air catching a frisbee it was sent to fetch,woof|bark|fetch,strict,True,
dog,indirect,dog,a companion curled tight against the cold on a narrow bunk,playful|loyal|companion,strict,True,
dog,indirect,dog,a slobbery toy left on a doorstep by an eager fetcher,woof|bark|fetch,strict,True,
dog,indirect,dog,a creature whose woof can rattle windows on a still morning,woof|bark|fetch,strict,True,
dog,indirect,dog,a leash looped neatly on a hook beside the front door,leash|collar|kennel,strict,True,
dog,indirect,dog,a playful mock-battle over a rope that always ends in a draw,playful|loyal|companion,strict,True,
dog,indirect,dog,a lovable mutt assembled from at least four different breeds,pooch|hound|mutt,strict,True,
dog,indirect,dog,a snout quivering as it tracks a scent across a muddy field,snout|tail|fur,strict,True,
dog,indirect,dog,a golden retriever bounding through ocean surf at low tide,labrador|retriever|breed,strict,True,
dog,indirect,dog,a matching collar and leash set gifted at Christmas,leash|collar|kennel,strict,True,
dog,indirect,dog,a well-gnawed bone surfaced during spring garden digging,bone|treat|obedient,strict,True,
dog,indirect,dog,a retriever carrying a newspaper without leaving a single tooth mark,labrador|retriever|breed,strict,True,
dog,indirect,dog,a working labrador in a bright assistance jacket on a busy platform,labrador|retriever|breed,strict,True,
dog,indirect,dog,fluffy fur catching the late sun in a halo of golden backlight,snout|tail|fur,strict,True,
dog,indirect,dog,a treat accidentally dropped sending both owner and animal scrambling,bone|treat|obedient,strict,True,
dog,indirect,dog,a running puppy whose paws barely seem to touch the ground,puppy|pup|paws,strict,True,
dog,indirect,dog,a loyal figure standing watch at the garden gate at dusk,playful|loyal|companion,strict,True,
dog,indirect,dog,a golden retriever's breed-defining smile in a sun-drenched park,labrador|retriever|breed,strict,True,
dog,indirect,dog,a pup standing on its hind paws to peer over a fence,puppy|pup|paws,strict,True,
dog,indirect,dog,thick fur dusted with fresh snow after a long run through the woods,snout|tail|fur,strict,True,
dog,indirect,dog,an obedient student graduating from training class with top marks,bone|treat|obedient,strict,True,
dog,indirect,dog,a hound frozen mid-step with one paw raised at a suspicious scent,pooch|hound|mutt,strict,True,
dog,indirect,dog,a snout parting wildflowers to investigate something hidden below,snout|tail|fur,strict,True,
dog,indirect,dog,a playful animal that treats every morning like the first morning,playful|loyal|companion,strict,True,
dog,indirect,dog,an obedient animal sitting perfectly still while a treat is balanced on its nose,bone|treat|obedient,strict,True,
dog,indirect,dog,a hidden stash of treats discovered under the sofa cushions,bone|treat|obedient,strict,True,
dog,indirect,dog,a companion at the other end of every long and quiet winter walk,playful|loyal|companion,strict,True,
dog,indirect,dog,a playful thief of socks who deposits them proudly at the front door,playful|loyal|companion,strict,True,
dog,indirect,dog,a playful bounce greeting that nearly topples a returning hiker,playful|loyal|companion,strict,True,
dog,indirect,dog,an excited animal dropping a soggy ball at a hiker's feet to fetch again,woof|bark|fetch,strict,True,
dog,indirect,dog,"a loyal shadow following through the kitchen, hall, and back again",playful|loyal|companion,strict,True,
dog,indirect,dog,an obedient animal frozen on command while birds land nearby,bone|treat|obedient,strict,True,
dog,indirect,dog,the retriever breed that always brings back more than you threw,labrador|retriever|breed,strict,True,
dog,indirect,dog,a playful sprint that ends in a dramatic belly-flop in tall grass,playful|loyal|companion,strict,True,
dog,indirect,dog,a new collar still stiff and bright on its first outing,leash|collar|kennel,strict,True,
dog,indirect,dog,a pup scrabbling its paws against a glass door to be let in,puppy|pup|paws,strict,True,
dog,indirect,dog,a pack of hounds streaming across a frost-covered hillside,pooch|hound|mutt,strict,True,
dog,indirect,dog,the source of a single loud woof rounding a garden corner,woof|bark|fetch,strict,True,
dog,indirect,dog,a collar buckle clicked shut before a long hike begins,leash|collar|kennel,strict,True,
dog,indirect,dog,a labrador staring intensely at a treat balanced on its own nose,labrador|retriever|breed,strict,True,
dog,indirect,dog,a sprinting animal so focused on a fetch it ignores everything else,woof|bark|fetch,strict,True,
dog,indirect,dog,a cozy kennel tucked in the corner of a garden shed,leash|collar|kennel,strict,True,
dog,indirect,dog,a tail held high while trotting proudly along a sun-drenched trail,snout|tail|fur,strict,True,
dog,indirect,dog,a retractable leash fully extended as its owner tries to keep pace,leash|collar|kennel,strict,True,
dog,indirect,dog,coarse fur bristling along the spine at an unfamiliar sound,snout|tail|fur,strict,True,
dog,indirect,dog,a kennel surrounded by worn patches of grass from repeated circling,leash|collar|kennel,strict,True,
dog,indirect,dog,a well-worn collar still warm from the neck it protected,leash|collar|kennel,strict,True,
dog,indirect,dog,a pampered pooch wrapped in a towel after a bath,pooch|hound|mutt,strict,True,
dog,indirect,dog,a newborn pup kneading its paws against its mother's warm coat,puppy|pup|paws,strict,True,
dog,indirect,dog,a snout detecting leftovers from two rooms away,snout|tail|fur,strict,True,
dog,indirect,dog,a show-breed animal posed on a grooming table under bright lights,labrador|retriever|breed,strict,True,
dog,indirect,dog,an obedient companion waiting at heel despite a squirrel passing by,bone|treat|obedient,strict,True,
dog,indirect,dog,a labrador with a tennis ball cheek-pouched like treasure,labrador|retriever|breed,strict,True,
dog,indirect,dog,a playful wrestling match between animal and a crumpled paper ball,playful|loyal|companion,strict,True,
dog,indirect,dog,a collar with a tiny bell that jingles on every midnight roam,leash|collar|kennel,strict,True,
dog,indirect,dog,a clumsy puppy tipping a water bowl while testing its paws,puppy|pup|paws,strict,True,
dog,indirect,dog,a tail sweeping crumbs off a low coffee table with one happy wag,snout|tail|fur,strict,True,
dog,indirect,dog,a loyal silhouette waiting at the window until its owner returns,playful|loyal|companion,strict,True,
dog,indirect,dog,a playful tail-chaser that catches itself and looks genuinely surprised,playful|loyal|companion,strict,True,
dog,indirect,dog,a curled tail resting over a tucked nose during a deep afternoon nap,snout|tail|fur,strict,True,
dog,indirect,dog,a tiny puppy with paws wrapped around a large rope toy,puppy|pup|paws,strict,True,
dog,indirect,dog,a fluffy pooch trotting beside a bicycle on a park loop,pooch|hound|mutt,strict,True,
dog,indirect,dog,a collar tag engraved with a name and a phone number,leash|collar|kennel,strict,True,
dog,indirect,dog,a playful bundle of energy spinning at the sound of the word park,playful|loyal|companion,strict,True,
dog,indirect,dog,a playful pup chasing its tail and tripping over its own paws,puppy|pup|paws,strict,True,
dog,indirect,dog,a rawhide bone slowly disintegrating into a proud pile of shreds,bone|treat|obedient,strict,True,
dog,indirect,dog,a rapid woof echoing across an empty hillside at dawn,woof|bark|fetch,strict,True,
dog,indirect,dog,a leash handle worn smooth from thousands of morning walks,leash|collar|kennel,strict,True,
dog,indirect,dog,a labrador's breed-typical enthusiasm making tea-time perilous,labrador|retriever|breed,strict,True,
dog,indirect,dog,a cheerful mutt waiting at the school gates every afternoon,pooch|hound|mutt,strict,True,
dog,indirect,dog,a breed champion's rosette hanging beside a water bowl,labrador|retriever|breed,strict,True,
dog,indirect,dog,a trusted companion reading the terrain ahead of an evening run,playful|loyal|companion,strict,True,
dog,indirect,dog,a kennel whose occupant always pokes its nose out at dinnertime,leash|collar|kennel,strict,True,
dog,indirect,dog,a rain-soaked fur coat steaming in the warmth of a kitchen doorway,snout|tail|fur,strict,True,
dog,indirect,dog,a rescued mutt blinking in disbelief at its new warm home,pooch|hound|mutt,strict,True,
dog,indirect,dog,the loyal shape that barks exactly twice then sits and waits,woof|bark|fetch,strict,True,
dog,indirect,dog,a gnawed bone trophy dragged under the bed for safe keeping,bone|treat|obedient,strict,True,
dog,indirect,dog,a yard echoing with a deep bark from behind a picket fence,woof|bark|fetch,strict,True,
dog,indirect,dog,a labrador's distinctive otter tail sweeping through long grass,labrador|retriever|breed,strict,True,
dog,indirect,dog,a kennel decorated with paw-print bunting for a birthday,leash|collar|kennel,strict,True,
dog,indirect,dog,a thigh bone larger than the animal attempting to carry it,bone|treat|obedient,strict,True,
dog,indirect,dog,a spotted puppy planting its paws on the edge of a garden pond,puppy|pup|paws,strict,True,
dog,indirect,dog,a prized bone buried with great ceremony in the vegetable garden,bone|treat|obedient,strict,True,
dog,indirect,dog,a sleepy puppy stretching its paws across a warm laptop keyboard,puppy|pup|paws,strict,True,
dog,indirect,dog,a muddy beast bursting through tall grass with a prize to fetch,woof|bark|fetch,strict,True,
dog,indirect,dog,a reliably obedient companion guiding its owner safely across traffic,bone|treat|obedient,strict,True,
dog,indirect,dog,a golden retriever that lives up entirely to its name,labrador|retriever|breed,strict,True,
dog,indirect,dog,a leash coiled on a doorstep beside a pair of muddy boots,leash|collar|kennel,strict,True,
dog,indirect,dog,a puppy with paws on the car window watching the countryside,puppy|pup|paws,strict,True,
dog,indirect,dog,a loyal presence matching its owner's pace whether brisk or slow,playful|loyal|companion,strict,True,
dog,indirect,dog,a retriever breed known the world over for its gentle patience,labrador|retriever|breed,strict,True,
dog,indirect,dog,a breed trial winner standing at attention in a grassy arena,labrador|retriever|breed,strict,True,
dog,indirect,dog,a muddy puppy with oversized paws bounding across a backyard lawn,puppy|pup|paws,strict,True,
dog,indirect,dog,an obedient animal dropping to a down-stay mid-sprint on a single word,bone|treat|obedient,strict,True,
dog,indirect,dog,a lap pooch draped over an armrest like a warm living stole,pooch|hound|mutt,strict,True,
dog,indirect,dog,a treat pouch rattling to summon an instant crowd of one,bone|treat|obedient,strict,True,
dog,indirect,dog,a snout covered in flour after investigating the baking counter,snout|tail|fur,strict,True,
dog,indirect,dog,a spoiled pooch eyeing the last biscuit from a silken cushion,pooch|hound|mutt,strict,True,
dog,indirect,dog,a waterproof fur coat shedding droplets in a sparkling arc,snout|tail|fur,strict,True,
dog,indirect,dog,a creature bounding back with a branch three times its size,woof|bark|fetch,strict,True,
dog,indirect,dog,a chocolate labrador shaking lake water into a rainbow of droplets,labrador|retriever|breed,strict,True,
